Algorithm,Optimizations,Bom,Nodes,AttemptNr,Time,Makespan
LS_TS_3min,OFF,bom_2_2_10_5,7.0,1,180.2178,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,2,180.1878,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,3,180.1933,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,4,180.2165,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,5,180.194,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,6,180.1956,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,7,180.1935,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,8,180.1878,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,9,180.2044,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,10,180.2091,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,11,180.197,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,12,180.2014,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,13,180.185,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,14,180.2076,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,15,180.2122,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,16,180.2112,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,17,180.2061,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,18,180.1938,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,19,180.1554,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,20,180.1918,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,21,180.1927,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,22,180.1952,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,23,180.1808,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,24,180.1703,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,25,180.1917,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,26,180.1964,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,27,180.2623,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,28,180.1862,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,29,180.1981,69217.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,30,180.201,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,1,180.1889,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,2,180.2055,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,3,180.2043,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,4,180.1779,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,5,180.1733,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,6,180.2101,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,7,180.1774,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,8,180.2087,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,9,180.1961,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,10,180.2166,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,11,180.1939,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,12,180.1913,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,13,180.2401,69217.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,14,180.2021,69217.0
