Algorithm,Optimizations,Bom,Nodes,AttemptNr,Time,Makespan
BS_TS_60min,OFF,bom_2_2_10_5,7.0,1,3600.4289,95470.0
BS_TS_60min,OFF,bom_2_2_10_5,7.0,2,3600.6885,95470.0
BS_TS_60min,ON,bom_2_2_10_5,7.0,1,3600.8625,95470.0
BS_TS_60min,ON,bom_2_2_10_5,7.0,2,3600.5671,95470.0
BS_TS_60min,OFF,bom_2_3_10_5,13.0,1,3600.7788,293754.0
BS_TS_60min,OFF,bom_2_3_10_5,13.0,2,3600.9782,293754.0
BS_TS_60min,ON,bom_2_3_10_5,13.0,1,3601.2069,186390.0
BS_TS_60min,ON,bom_2_3_10_5,13.0,2,3601.1312,186390.0
BS_TS_60min,OFF,bom_2_4_10_5,21.0,1,3601.4887,241549.0
BS_TS_60min,OFF,bom_2_4_10_5,21.0,2,3602.0722,241549.0
BS_TS_60min,ON,bom_2_4_10_5,21.0,1,3602.1274,241549.0
BS_TS_60min,ON,bom_2_4_10_5,21.0,2,3602.4671,241549.0
BS_TS_60min,OFF,bom_2_5_10_5,31.0,1,3602.2994,281366.0
BS_TS_60min,OFF,bom_2_5_10_5,31.0,2,3603.8646,281567.0
BS_TS_60min,ON,bom_2_5_10_5,31.0,1,3602.088,281628.0
BS_TS_60min,ON,bom_2_5_10_5,31.0,2,3602.7,280916.0
BS_TS_60min,OFF,bom_2_6_10_5,43.0,1,3603.0542,394005.0
BS_TS_60min,OFF,bom_2_6_10_5,43.0,2,3603.241,394748.0
BS_TS_60min,ON,bom_2_6_10_5,43.0,1,3602.431,393506.0
BS_TS_60min,ON,bom_2_6_10_5,43.0,2,3602.9644,392488.0
BS_TS_60min,OFF,bom_2_7_10_5,57.0,1,3602.9654,523823.0
BS_TS_60min,OFF,bom_2_7_10_5,57.0,2,3602.958,527838.0
BS_TS_60min,ON,bom_2_7_10_5,57.0,1,3602.6676,521677.0
BS_TS_60min,ON,bom_2_7_10_5,57.0,2,3602.7566,521110.0
BS_TS_60min,OFF,bom_2_8_10_5,73.0,1,3602.875,708240.0
BS_TS_60min,OFF,bom_2_8_10_5,73.0,2,3603.6831,707858.0
BS_TS_60min,ON,bom_2_8_10_5,73.0,1,3602.8303,707375.0
BS_TS_60min,ON,bom_2_8_10_5,73.0,2,3602.964,707419.0
BS_TS_60min,OFF,bom_2_9_10_5,91.0,1,3603.3492,866949.0
BS_TS_60min,OFF,bom_2_9_10_5,91.0,2,3602.8212,868123.0
BS_TS_60min,ON,bom_2_9_10_5,91.0,1,3603.7099,859147.0
BS_TS_60min,ON,bom_2_9_10_5,91.0,2,3603.6641,860701.0
BS_TS_60min,OFF,bom_2_10_10_5,111.0,1,3602.7041,1078423.0
BS_TS_60min,OFF,bom_2_10_10_5,111.0,2,3602.6652,1078578.0
BS_TS_60min,ON,bom_2_10_10_5,111.0,1,3603.0666,1069635.0
BS_TS_60min,ON,bom_2_10_10_5,111.0,2,3602.4458,1070950.0
BS_TS_60min,OFF,bom_2_11_10_5,133.0,1,3603.2277,1349018.0
BS_TS_60min,OFF,bom_2_11_10_5,133.0,2,3604.1384,1346555.0
