Algorithm,Optimizations,Bom,Nodes,AttemptNr,Time,Makespan
LS_TS_3min,OFF,bom_2_2_10_5,7.0,1,180.2219,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,2,180.1893,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,3,180.1854,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,4,180.1816,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,5,180.2008,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,6,180.1939,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,7,180.1945,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,8,180.1994,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,9,180.195,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,10,180.2886,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,11,180.2014,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,12,180.2563,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,13,180.2196,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,14,180.2276,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,15,180.1759,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,16,180.1982,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,17,180.2053,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,18,180.1817,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,19,180.1968,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,20,180.2133,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,21,180.2087,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,22,180.1842,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,23,180.1822,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,24,180.2155,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,25,180.3007,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,26,180.1803,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,27,180.2068,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,28,180.2571,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,29,180.1966,175820.0
LS_TS_3min,OFF,bom_2_2_10_5,7.0,30,180.1992,175820.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,1,180.2727,175820.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,2,180.1994,175820.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,3,180.1766,175820.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,4,180.4361,175820.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,5,180.1818,175820.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,6,180.2,175820.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,7,180.2508,175820.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,8,180.1982,175820.0
LS_TS_3min,ON,bom_2_2_10_5,7.0,9,180.1937,175820.0
