Algorithm,Optimizations,Bom,Nodes,AttemptNr,Time,Makespan
TS_BS,OFF,bom_3_10_25_5,1111.0,1,181.5,5687493.0
TS_BS,OFF,bom_3_10_25_5,1111.0,2,181.5285,5566951.0
TS_BS,OFF,bom_3_10_25_5,1111.0,3,181.594,5510818.0
TS_BS,OFF,bom_3_10_25_5,1111.0,4,181.5738,5456522.0
TS_BS,OFF,bom_3_10_25_5,1111.0,5,181.7546,5823974.0
TS_BS_opt,ON,bom_3_10_25_5,1111.0,1,181.5978,4825041.0
TS_BS_opt,ON,bom_3_10_25_5,1111.0,2,181.5797,4826127.0
TS_BS_opt,ON,bom_3_10_25_5,1111.0,3,181.6074,4833710.0
TS_BS_opt,ON,bom_3_10_25_5,1111.0,4,181.5994,4763276.0
TS_BS_opt,ON,bom_3_10_25_5,1111.0,5,181.5619,4801248.0
TS,OFF,bom_3_10_25_5,1111.0,1,181.5731,5219886.0
TS,OFF,bom_3_10_25_5,1111.0,2,181.6206,4968154.0
TS,OFF,bom_3_10_25_5,1111.0,3,181.6041,5108828.0
TS,OFF,bom_3_10_25_5,1111.0,4,181.5754,4974870.0
TS,OFF,bom_3_10_25_5,1111.0,5,181.5427,5192008.0
TS_opt,ON,bom_3_10_25_5,1111.0,1,181.5648,4683948.0
TS_opt,ON,bom_3_10_25_5,1111.0,2,181.556,4641795.0
TS_opt,ON,bom_3_10_25_5,1111.0,3,181.5516,4688727.0
TS_opt,ON,bom_3_10_25_5,1111.0,4,181.5437,4709435.0
TS_opt,ON,bom_3_10_25_5,1111.0,5,181.572,4638831.0
GA_BS,OFF,bom_3_10_25_5,1111.0,1,206.1752,6734273.0
GA_BS,OFF,bom_3_10_25_5,1111.0,2,205.4293,5935368.0
GA_BS,OFF,bom_3_10_25_5,1111.0,3,205.5803,6315941.0
GA_BS,OFF,bom_3_10_25_5,1111.0,4,204.6176,6291796.0
GA_BS,OFF,bom_3_10_25_5,1111.0,5,206.5368,6306900.0
GA_BS_opt,ON,bom_3_10_25_5,1111.0,1,205.1882,5503992.0
GA_BS_opt,ON,bom_3_10_25_5,1111.0,2,206.0104,5977205.0
GA_BS_opt,ON,bom_3_10_25_5,1111.0,3,206.3725,5545634.0
GA_BS_opt,ON,bom_3_10_25_5,1111.0,4,205.1056,5575057.0
GA_BS_opt,ON,bom_3_10_25_5,1111.0,5,206.2038,6009952.0
GA,OFF,bom_3_10_25_5,1111.0,1,206.3531,6385332.0
GA,OFF,bom_3_10_25_5,1111.0,2,204.6421,6165425.0
GA,OFF,bom_3_10_25_5,1111.0,3,205.3065,5958200.0
GA,OFF,bom_3_10_25_5,1111.0,4,205.9101,6654061.0
GA,OFF,bom_3_10_25_5,1111.0,5,205.2095,6113166.0
GA_opt,ON,bom_3_10_25_5,1111.0,1,206.5894,5875086.0
GA_opt,ON,bom_3_10_25_5,1111.0,2,204.7399,5444816.0
GA_opt,ON,bom_3_10_25_5,1111.0,3,204.5004,5704044.0
GA_opt,ON,bom_3_10_25_5,1111.0,4,206.4503,5658082.0
GA_opt,ON,bom_3_10_25_5,1111.0,5,205.007,5824329.0
ABC_BS,OFF,bom_3_10_25_5,1111.0,1,204.9445,6823121.0
ABC_BS,OFF,bom_3_10_25_5,1111.0,2,204.7766,7165850.0
ABC_BS,OFF,bom_3_10_25_5,1111.0,3,204.7783,6888581.0
ABC_BS,OFF,bom_3_10_25_5,1111.0,4,204.784,6806984.0
ABC_BS,OFF,bom_3_10_25_5,1111.0,5,204.6519,6551523.0
ABC_BS_opt,ON,bom_3_10_25_5,1111.0,1,204.6494,6528207.0
ABC_BS_opt,ON,bom_3_10_25_5,1111.0,2,204.8662,6642802.0
ABC_BS_opt,ON,bom_3_10_25_5,1111.0,3,204.8121,6139352.0
ABC_BS_opt,ON,bom_3_10_25_5,1111.0,4,204.7381,6613933.0
ABC_BS_opt,ON,bom_3_10_25_5,1111.0,5,204.8899,6637588.0
ABC,OFF,bom_3_10_25_5,1111.0,1,204.8523,6513152.0
ABC,OFF,bom_3_10_25_5,1111.0,2,204.6194,6671258.0
ABC,OFF,bom_3_10_25_5,1111.0,3,204.6196,6723023.0
ABC,OFF,bom_3_10_25_5,1111.0,4,204.8719,6408886.0
ABC,OFF,bom_3_10_25_5,1111.0,5,204.683,6637393.0
ABC_opt,ON,bom_3_10_25_5,1111.0,1,204.7384,6246184.0
ABC_opt,ON,bom_3_10_25_5,1111.0,2,204.9832,6325982.0
ABC_opt,ON,bom_3_10_25_5,1111.0,3,204.8139,6051394.0
ABC_opt,ON,bom_3_10_25_5,1111.0,4,205.2525,6239688.0
ABC_opt,ON,bom_3_10_25_5,1111.0,5,204.8217,6404926.0
