Algorithm,Optimizations,Bom,Nodes,AttemptNr,Time,Makespan,Iterations
GA,OFF,bom_3_10_25_5,1111.0,1,220.3944,5318411.0,77.0
GA,OFF,bom_3_10_25_5,1111.0,2,221.2815,5318411.0,81.0
GA,OFF,bom_3_10_25_5,1111.0,3,222.8508,5244518.0,79.0
GA_opt,ON,bom_3_10_25_5,1111.0,1,224.7766,5234124.0,81.0
GA_opt,ON,bom_3_10_25_5,1111.0,2,229.6447,5081411.0,86.0
GA_opt,ON,bom_3_10_25_5,1111.0,3,225.5909,5023041.0,85.0
GA_BS,OFF,bom_3_10_25_5,1111.0,1,225.0982,5318411.0,81.0
GA_BS,OFF,bom_3_10_25_5,1111.0,2,224.504,5318411.0,78.0
GA_BS,OFF,bom_3_10_25_5,1111.0,3,222.7576,5318411.0,80.0
GA_BS_opt,ON,bom_3_10_25_5,1111.0,1,222.511,5116240.0,81.0
GA_BS_opt,ON,bom_3_10_25_5,1111.0,2,222.1686,4949114.0,79.0
GA_BS_opt,ON,bom_3_10_25_5,1111.0,3,225.5874,5249204.0,81.0
ABC,OFF,bom_3_10_25_5,1111.0,1,223.6636,5318411.0,716.0
ABC,OFF,bom_3_10_25_5,1111.0,2,224.1961,5318411.0,731.0
ABC,OFF,bom_3_10_25_5,1111.0,3,224.4054,5318411.0,719.0
ABC_opt,ON,bom_3_10_25_5,1111.0,1,222.5044,5278580.0,727.0
ABC_opt,ON,bom_3_10_25_5,1111.0,2,227.0295,5280280.0,722.0
ABC_opt,ON,bom_3_10_25_5,1111.0,3,227.0158,4841528.0,719.0
ABC_BS,OFF,bom_3_10_25_5,1111.0,1,222.3817,5318411.0,712.0
ABC_BS,OFF,bom_3_10_25_5,1111.0,2,223.7053,5318411.0,737.0
ABC_BS,OFF,bom_3_10_25_5,1111.0,3,227.3043,5318411.0,713.0
ABC_BS_opt,ON,bom_3_10_25_5,1111.0,1,226.3752,5257683.0,710.0
ABC_BS_opt,ON,bom_3_10_25_5,1111.0,2,220.5608,5275193.0,694.0
ABC_BS_opt,ON,bom_3_10_25_5,1111.0,3,223.423,5279309.0,727.0
TS,OFF,bom_3_10_25_5,1111.0,1,195.4185,5005706.0,1726.125
TS,OFF,bom_3_10_25_5,1111.0,2,180.9573,5047389.0,1725.65625
TS,OFF,bom_3_10_25_5,1111.0,3,180.8752,4900748.0,1726.09375
TS_opt,ON,bom_3_10_25_5,1111.0,1,181.0411,4644496.0,1734.8125
TS_opt,ON,bom_3_10_25_5,1111.0,2,180.8236,4654784.0,1734.0
TS_opt,ON,bom_3_10_25_5,1111.0,3,180.9028,4640824.0,1736.65625
TS_BS,OFF,bom_3_10_25_5,1111.0,1,180.962,5297377.0,1726.96875
TS_BS,OFF,bom_3_10_25_5,1111.0,2,180.719,5168306.0,1726.09375
TS_BS,OFF,bom_3_10_25_5,1111.0,3,181.109,5055865.0,1726.5
TS_BS_opt,ON,bom_3_10_25_5,1111.0,1,180.9119,4671275.0,1740.0
TS_BS_opt,ON,bom_3_10_25_5,1111.0,2,180.9401,4708049.0,1740.0625
TS_BS_opt,ON,bom_3_10_25_5,1111.0,3,181.063,4642249.0,1739.9375
