Algorithm,Optimizations,Bom,Nodes,AttemptNr,Time,Makespan
TS,OFF,bom_compus,1111.0,1,180.0514,35715860.0
TS,OFF,bom_compus,1111.0,2,180.0525,35715860.0
TS,OFF,bom_compus,1111.0,3,180.0607,35715860.0
TS,OFF,bom_compus,1111.0,4,180.0575,35715860.0
TS,OFF,bom_compus,1111.0,5,180.0472,35715860.0
TS_opt,ON,bom_compus,1111.0,1,180.0546,35712960.0
TS_opt,ON,bom_compus,1111.0,2,180.0434,35712960.0
TS_opt,ON,bom_compus,1111.0,3,180.0533,35712960.0
TS_opt,ON,bom_compus,1111.0,4,180.035,35712960.0
TS_opt,ON,bom_compus,1111.0,5,180.0434,35712960.0
TS_BS,OFF,bom_compus,1111.0,1,180.0653,23393440.0
TS_BS,OFF,bom_compus,1111.0,2,180.0503,20517412.0
TS_BS,OFF,bom_compus,1111.0,3,180.0405,20519084.0
TS_BS,OFF,bom_compus,1111.0,4,180.0496,20514680.0
TS_BS,OFF,bom_compus,1111.0,5,180.0561,20526552.0
TS_BS_opt,ON,bom_compus,1111.0,1,180.0336,21445068.0
TS_BS_opt,ON,bom_compus,1111.0,2,180.0522,20867316.0
TS_BS_opt,ON,bom_compus,1111.0,3,180.0671,20512256.0
TS_BS_opt,ON,bom_compus,1111.0,4,180.0525,20513580.0
TS_BS_opt,ON,bom_compus,1111.0,5,180.1074,20510328.0
GA,OFF,bom_compus,1111.0,1,180.1353,35715860.0
GA,OFF,bom_compus,1111.0,2,180.2245,35715860.0
GA,OFF,bom_compus,1111.0,3,180.2072,35715860.0
GA,OFF,bom_compus,1111.0,4,180.091,35715860.0
GA,OFF,bom_compus,1111.0,5,180.1953,35715860.0
GA_opt,ON,bom_compus,1111.0,1,180.0847,35712960.0
GA_opt,ON,bom_compus,1111.0,2,180.2195,35712960.0
GA_opt,ON,bom_compus,1111.0,3,180.1142,35712960.0
GA_opt,ON,bom_compus,1111.0,4,180.2069,35712960.0
GA_opt,ON,bom_compus,1111.0,5,180.0899,35712960.0
GA_BS,OFF,bom_compus,1111.0,1,180.0667,20534572.0
GA_BS,OFF,bom_compus,1111.0,2,180.1672,20562856.0
GA_BS,OFF,bom_compus,1111.0,3,180.1303,21156052.0
GA_BS,OFF,bom_compus,1111.0,4,180.1298,20527100.0
GA_BS,OFF,bom_compus,1111.0,5,180.0866,20571024.0
GA_BS_opt,ON,bom_compus,1111.0,1,180.1065,20520948.0
GA_BS_opt,ON,bom_compus,1111.0,2,180.1522,20550224.0
GA_BS_opt,ON,bom_compus,1111.0,3,180.112,20583180.0
GA_BS_opt,ON,bom_compus,1111.0,4,180.0917,20613316.0
GA_BS_opt,ON,bom_compus,1111.0,5,180.2367,21864600.0
ABC,OFF,bom_compus,1111.0,1,180.074,35715860.0
ABC,OFF,bom_compus,1111.0,2,180.0759,35715860.0
ABC,OFF,bom_compus,1111.0,3,180.0841,35715860.0
ABC,OFF,bom_compus,1111.0,4,180.0839,35715860.0
ABC,OFF,bom_compus,1111.0,5,180.0776,35715860.0
ABC_opt,ON,bom_compus,1111.0,1,180.101,35712960.0
ABC_opt,ON,bom_compus,1111.0,2,180.0822,35712960.0
ABC_opt,ON,bom_compus,1111.0,3,180.0663,35712960.0
ABC_opt,ON,bom_compus,1111.0,4,180.0744,35712960.0
ABC_opt,ON,bom_compus,1111.0,5,180.0674,35712960.0
ABC_BS,OFF,bom_compus,1111.0,1,180.074,21713760.0
ABC_BS,OFF,bom_compus,1111.0,2,180.0671,21244620.0
ABC_BS,OFF,bom_compus,1111.0,3,180.0652,22126488.0
ABC_BS,OFF,bom_compus,1111.0,4,180.077,21693440.0
ABC_BS,OFF,bom_compus,1111.0,5,180.0776,21724080.0
ABC_BS_opt,ON,bom_compus,1111.0,1,180.0894,21168960.0
ABC_BS_opt,ON,bom_compus,1111.0,2,180.0759,21177040.0
ABC_BS_opt,ON,bom_compus,1111.0,3,180.0821,21428800.0
ABC_BS_opt,ON,bom_compus,1111.0,4,180.0663,21075536.0
ABC_BS_opt,ON,bom_compus,1111.0,5,180.0861,21332180.0
