Algorithm,Optimizations,Bom,Nodes,AttemptNr,Time,Makespan
TS_BS,OFF,bom_tubes,1111.0,1,180.0858,45980.0
TS_BS,OFF,bom_tubes,1111.0,2,180.0988,45980.0
TS_BS,OFF,bom_tubes,1111.0,3,180.0584,45980.0
TS_BS,OFF,bom_tubes,1111.0,4,180.0909,45980.0
TS_BS,OFF,bom_tubes,1111.0,5,180.0907,46080.0
TS_BS_opt,ON,bom_tubes,1111.0,1,180.093,45980.0
TS_BS_opt,ON,bom_tubes,1111.0,2,180.1059,45980.0
TS_BS_opt,ON,bom_tubes,1111.0,3,180.0918,45980.0
TS_BS_opt,ON,bom_tubes,1111.0,4,180.1088,45980.0
TS_BS_opt,ON,bom_tubes,1111.0,5,180.0722,45980.0
TS,OFF,bom_tubes,1111.0,1,180.0988,48140.0
TS,OFF,bom_tubes,1111.0,2,180.0985,48140.0
TS,OFF,bom_tubes,1111.0,3,180.1082,48140.0
TS,OFF,bom_tubes,1111.0,4,180.1093,48140.0
TS,OFF,bom_tubes,1111.0,5,180.0915,48140.0
TS_opt,ON,bom_tubes,1111.0,1,180.1028,48140.0
TS_opt,ON,bom_tubes,1111.0,2,180.0944,48140.0
TS_opt,ON,bom_tubes,1111.0,3,180.1139,48140.0
TS_opt,ON,bom_tubes,1111.0,4,180.0972,48140.0
TS_opt,ON,bom_tubes,1111.0,5,180.1064,48140.0
GA_BS,OFF,bom_tubes,1111.0,1,180.0473,34540.0
GA_BS,OFF,bom_tubes,1111.0,2,180.1364,34540.0
GA_BS,OFF,bom_tubes,1111.0,3,180.049,34540.0
GA_BS,OFF,bom_tubes,1111.0,4,180.0592,34540.0
GA_BS,OFF,bom_tubes,1111.0,5,180.1292,34540.0
GA_BS_opt,ON,bom_tubes,1111.0,1,180.0606,34540.0
GA_BS_opt,ON,bom_tubes,1111.0,2,180.1065,34540.0
GA_BS_opt,ON,bom_tubes,1111.0,3,180.035,34540.0
GA_BS_opt,ON,bom_tubes,1111.0,4,180.1391,34540.0
GA_BS_opt,ON,bom_tubes,1111.0,5,180.0912,34540.0
GA,OFF,bom_tubes,1111.0,1,180.0362,48140.0
GA,OFF,bom_tubes,1111.0,2,180.0581,48140.0
GA,OFF,bom_tubes,1111.0,3,180.0542,48140.0
GA,OFF,bom_tubes,1111.0,4,180.0447,48140.0
GA,OFF,bom_tubes,1111.0,5,180.0601,48140.0
GA_opt,ON,bom_tubes,1111.0,1,180.0804,48140.0
GA_opt,ON,bom_tubes,1111.0,2,180.1099,48140.0
GA_opt,ON,bom_tubes,1111.0,3,180.1402,48140.0
GA_opt,ON,bom_tubes,1111.0,4,180.1265,48140.0
GA_opt,ON,bom_tubes,1111.0,5,180.0795,48140.0
ABC_BS,OFF,bom_tubes,1111.0,1,180.0339,45980.0
ABC_BS,OFF,bom_tubes,1111.0,2,180.03,45980.0
ABC_BS,OFF,bom_tubes,1111.0,3,180.0216,45980.0
ABC_BS,OFF,bom_tubes,1111.0,4,180.0244,45980.0
ABC_BS,OFF,bom_tubes,1111.0,5,180.0321,45980.0
ABC_BS_opt,ON,bom_tubes,1111.0,1,180.0304,45980.0
ABC_BS_opt,ON,bom_tubes,1111.0,2,180.0194,45980.0
ABC_BS_opt,ON,bom_tubes,1111.0,3,180.021,45980.0
ABC_BS_opt,ON,bom_tubes,1111.0,4,180.0297,45980.0
ABC_BS_opt,ON,bom_tubes,1111.0,5,180.0349,45980.0
ABC,OFF,bom_tubes,1111.0,1,180.0455,48140.0
ABC,OFF,bom_tubes,1111.0,2,180.0453,48140.0
ABC,OFF,bom_tubes,1111.0,3,180.0449,48140.0
ABC,OFF,bom_tubes,1111.0,4,180.0419,48140.0
ABC,OFF,bom_tubes,1111.0,5,180.0199,48140.0
ABC_opt,ON,bom_tubes,1111.0,1,180.0382,48140.0
ABC_opt,ON,bom_tubes,1111.0,2,180.0636,48140.0
ABC_opt,ON,bom_tubes,1111.0,3,180.0187,48140.0
ABC_opt,ON,bom_tubes,1111.0,4,180.0212,48140.0
ABC_opt,ON,bom_tubes,1111.0,5,180.0464,48140.0
